8760	0	0	0	
8761.75	-1.#IND	-1.#IND	-1.#IND	
8761.76	-1.#IND	-1.#IND	-1.#IND	
8761.77	-1.#IND	-1.#IND	-1.#IND	
8761.77	-1.#IND	-1.#IND	-1.#IND	
8761.78	-1.#IND	-1.#IND	-1.#IND	
8761.79	-1.#IND	-1.#IND	-1.#IND	
8761.79	-1.#IND	-1.#IND	-1.#IND	
8761.8	-1.#IND	-1.#IND	-1.#IND	
8761.81	-1.#IND	-1.#IND	-1.#IND	
8761.81	-1.#IND	-1.#IND	-1.#IND	
8761.82	-1.#IND	-1.#IND	-1.#IND	
8761.83	-1.#IND	-1.#IND	-1.#IND	
8761.83	-1.#IND	-1.#IND	-1.#IND	
8761.84	-1.#IND	-1.#IND	-1.#IND	
8761.85	-1.#IND	-1.#IND	-1.#IND	
8761.85	-1.#IND	-1.#IND	-1.#IND	
8761.86	-1.#IND	-1.#IND	-1.#IND	
8761.87	-1.#IND	-1.#IND	-1.#IND	
8761.87	-1.#IND	-1.#IND	-1.#IND	
8761.88	-1.#IND	-1.#IND	-1.#IND	
8761.89	-1.#IND	-1.#IND	-1.#IND	
8761.89	-1.#IND	-1.#IND	-1.#IND	
8761.9	-1.#IND	-1.#IND	-1.#IND	
8761.91	-1.#IND	-1.#IND	-1.#IND	
8761.91	-1.#IND	-1.#IND	-1.#IND	
8761.92	-1.#IND	-1.#IND	-1.#IND	
8761.93	-1.#IND	-1.#IND	-1.#IND	
8761.93	-1.#IND	-1.#IND	-1.#IND	
8761.94	-1.#IND	-1.#IND	-1.#IND	
8761.95	-1.#IND	-1.#IND	-1.#IND	
8761.95	-1.#IND	-1.#IND	-1.#IND	
8761.96	-1.#IND	-1.#IND	-1.#IND	
8761.97	-1.#IND	-1.#IND	-1.#IND	
8761.97	-1.#IND	-1.#IND	-1.#IND	
8761.98	-1.#IND	-1.#IND	-1.#IND	
8761.99	-1.#IND	-1.#IND	-1.#IND	
8761.99	-1.#IND	-1.#IND	-1.#IND	
8762	-1.#IND	-1.#IND	-1.#IND	
8762.01	-1.#IND	-1.#IND	-1.#IND	
8762.01	-1.#IND	-1.#IND	-1.#IND	
8762.02	-1.#IND	-1.#IND	-1.#IND	
8762.03	-1.#IND	-1.#IND	-1.#IND	
8762.03	-1.#IND	-1.#IND	-1.#IND	
8762.04	-1.#IND	-1.#IND	-1.#IND	
8762.05	-1.#IND	-1.#IND	-1.#IND	
8762.05	-1.#IND	-1.#IND	-1.#IND	
8762.06	-1.#IND	-1.#IND	-1.#IND	
8762.07	-1.#IND	-1.#IND	-1.#IND	
8762.07	-1.#IND	-1.#IND	-1.#IND	
8762.08	-1.#IND	-1.#IND	-1.#IND	
8762.09	-1.#IND	-1.#IND	-1.#IND	
8762.09	-1.#IND	-1.#IND	-1.#IND	
8762.1	-1.#IND	-1.#IND	-1.#IND	
8762.11	-1.#IND	-1.#IND	-1.#IND	
8762.11	-1.#IND	-1.#IND	-1.#IND	
